chinese_name,english_names,english_descriptions,csi_category
蜜汁叉烧,char sui pork; char siu pork; bbq pork with honey sauce; barbecued char siu pork; char siu bbq pork; Honey-Stewed BBQ Pork,[],0
三鲜炒面,seafood chow mein; three kinds of seafood chow mein,[],0
荔蓉炸芋角,taro croquette with pork and shrimp; deep fried prawn dumplings with salad cream,[]; ['contain pork'],0
椒盐排骨,salt and pepper spare ribs; Salt and Pepper Spareribs; salt and pepper pork spare ribs pieces; spare ribs with chilli and salt; fried spare ribs with spiced salt; salt and chilli spare ribs; salt & pepper spare ribs,"[]; ['Fried Spare ribs with pepper garlic and chilli']; ['Salt, Pepper, Spare Ribs, Onion, Potato Starch']",0
鸡蛋炒饭,fried rice; stir-fried rice with egg; egg fried rice,"[]; ['Egg, Rice, Spring Onion']",0
星洲炒饭,singapore spicy fried rice; singapore style fried rice,[],0
椒盐薯条,salt and pepper fries; salt and pepper chips,[],0
梅子鸭片煲,roasted duck with plum sauce in clay pot,[],0
川东少妇鸡,"sauteed chicken with green pepper and black bean sauce, east, sichuan style",[],0
韭菜虾饺,prawn and chives dumpling; prawn chives dumpling; prawn and chinese chive dumpling,[],0
生菜丝咸鱼鸡粒炒饭,"stir-fried rice with diced chicken, salted fish and shredded lettuce",[],0
椰香南瓜饼,pan fried pumpkin cake v,[],0
脆皮自制豆腐,crispy home made tofu with crushed olive,['(v)'],0
百花酿蟹钳,deep fried crab claw stuffed with prawn meat; deep fried crab claws,[],0
牛腩汤面,beef brisket in soup with noodle rice stick udon; beef brisket noodle soup; beef belly noodle soup,[],0
叉烧烧鸭饭,char siu and roast duck with rice,[],0
大虾炒面,king prawn fried noodle; prawn chow mein; king prawn fried noodles; stir fried egg noodle with king prawns; king prawn chow mein,[]; ['Fried egg noodles with prawns onions and beans sprout'],0
虾多士,sesame prawn toast pieces; sesame prawn on baguette; sesame prawn toast; toasted sesame prawns,[],0
豉椒羊肉,sliced lamb with green pepper in black bean sauce,[],0
百花酿鸭片,pak far roasted duck with prawn meat stuffing,[],0
铁板姜葱大虾,sizzling king prawns with ginger and spring onions,[],0
牛肉炒面,beef chow mein; beef fried noodle; stir fried egg noodle with beef,[],0
干锅牛腩,dry pot beef brisket; beef brisket cooked in hot pan,[],0
粟米鸡汤,chicken sweetcorn soup,[],0
皮蛋瘦肉粥,lean pork with preserved egg congee; salty pork and black egg congee; pork and century egg; preserved egg and pork; congee with minced pork and preserved egg,[]; ['Congee'],0
宫保鸡丁,gongbao diced chicken with peanuts & dried chilli; gong bao chicken roasted peanuts and essence; kung pao chicken; Kung Pao chicken; kung pao chicken ; Wok-fried Diced Chicken with Cashew Nuts and Red Pepper; classic imperial gongbao chicken; kong po chicken sichuan style,"[]; ['Chicken, Sichuan Pepper Corn, Peanuts & Dried Chilli']; ['Named after an Imperial Governor of Sichuan', 'A medley of chicken cubes cashew nuts and red chillies in a tangy sweet sauce laced with chilli spice fresh garlic and a touch of numbing Sichuan pepper']",0
豉椒牛肉,beef with green pepper and black bean; beef with green peppers and black bean sauce; beef with black bean sauce; spicy beef in chilli and black bean sauce; beef with green pepper in black bean sauce,[],0
斋春卷,crispy vegetarian spring roll; vegetable spring roll; vegetable spring rolls; vegetarian spring rolls,[],0
黄金蛋炒饭,golden egg fried rice,['(v)']; ['( v )'],0
鸡肉生菜包,chicken lettuce wrap served with hoi sin sauce; lettuce wrapped minced chicken,[],0
黑蒜海鲜粒炒饭,egg fried rice with shrimps and diced roast duck; diced lobster fried rice with salted duck egg,[],0
脆皮烧肉虾胶,cantonese barbecued pork crackling with prawn plum and; the cantonese barbecued pork crackling with prawnplum and truffle,[],0
黑椒鸡卷,chicken roll in black pepper sauce; steamed chicken roll in oyster sauce,[],0
姜葱羊肉,lamb with ginger and spring onion; sliced lamb with ginger and spring onion,[]; ['Stir fried sliced lamb with ginger and spring onion'],0
干锅肥肠,griddle cooked pork intestines; dry pot pork intestines,[],0
云耳炸春卷,fried vegetable spring rolls,[],0
酥炸云吞,crispy won tons; deep fried wun tun,[],0
腊味炒饭,chinese cured pork and sausage fried rice; diced chinese dried bacon & chinese sun-dried sausage fried rice,"['Chinese Dried Bacon, Chinese Sun-dried Sausage, Egg, Spring Onion, Rice']; []",0
斑腩豆腐煲,monk fish fried bean curd and vegetables in clay pot,[],0
椒盐软壳蟹,deep fried soft shell crab with garlic in spicy salt and pepper; salt and pepper soft shell crab; crispy soft shell crab with dry roasted sichuan pepper and spicy salt; soft shell crab with chilli and salt prawn crackers,[],0
陈皮红豆沙,orange flavoured sweet red bean soup; tangerine-flavored red bean paste,"[]; ['Orange Peel, Red Bean']",0
杨州炒饭,yang chow fried rice; yeung chow fried rice,[],0
云吞汤,won ton soup; wun tun soup; wonton soup; home won ton soup,"['Homemade chicken and vegetable dumplings served in a light broth']; []; ['Pork Dumpling, Chinese Cabbage, Corianda']",0
鸡球炒面,sliced chicken chow mein,[],0
干牛丝,crispy shredded beef,[],0
鱼香鸡,sliced chicken in hot and spicy sauce; yu xiang style chicken,[],0
酥炸软壳蟹,deep fried softshell crab with curry leaf dressing,[],0
宫保什菜,kung po mixed vegetable; mixed vegetables kunpo style with cashewnuts,[],0
干烧鲈鱼,dry brised sea bass; dry braised sea bass,[],0
蒜香葱油饼,fried spring onion pancakes; spring onion pancakes,[],0
鸳鸯炒饭,yin yan fried rice,[]; ['Half of Fried Rice with White Sauce other Half Tomato sauce'],0
黑椒粒粒香,fragrant black pepper sirloin beef; black pepper sirloin beef,[]; ['A warming peppery hot dish of diced sirloin beef stir fried with carrot mixed peppers and broccoli stems'],0
麻辣鸭舌,marinated spicy duck tongues; hot and spicy duck; plain cheung fun with sesame sauce,[]; ['Tongue'],0
一碗香,special cooked braised pork belly,[],0
咕噜猪肉,sweet and sour pork,[],0
生炒牛肉饭,minced beef & lettuce fried rice; minced beef fried rice,"[]; ['Beef, Lettuce, Egg, Rice, Spring Onion']",0
雪菜大汤黄鱼,vegetable; stewed yellow croaker with bamboo shoots and preserved ,[],0
咸蛋黄焗豆腐,fried beancurd coated with salty duck egg yolk,"['Beancurd, Salty Duck Egg Yolk, Spring Onion']; []",0
飘香榴莲酥,durian crisp; durian crisp v,[],0
铁板黑椒羊肉,sizzling sliced lamb in black pepper sauce,[],0
斋饺,veg dumpling; vegetable dumpling,[],0
上海小笼包,Steamed “Shanghai” pork dumpling; shanghai steamed dumpling ginger infused vinegar; mini shanghai dumplings; shanghai xiao long bao; shanghai steamed dumplings ginger infused,[]; Bánh bao Thượng Hải,0
叉烧炒面,szechuan starch jelly with house chilli sauce; char siu chow mein,[],0
牛肉炒饭,mince beef fried rice; beef fried rice,[],0
带子饺,scallop dumplings pieces; scallop dumplings; scallop and prawn dumpling,[],0
福州炒饭,steamed lotus leaf rice with diced roasted duck and prawns; fried rice with mixed meat and prawn steamed and wrapped in lotus leaf,[],0
葱油拌面,"scallion oil noodles with soysauce; noodles in scallion, oil and soy sauce",[],0
椒盐大虾球,prawn with spiced salt; salt and pepper king prawns,[],0
春卷,spring rolls; chop chop spring rolls,"['Pancake, Stuffing of Pork & Shrimps or Vegetables']; []; ['(v)']",0
酱虾子肉松茄子煲,casserole; braised eggplant with shrimps and pork floss with xo sauce in ,[],0
三杯鸡,"stewed chicken with three cups sauce salt, sugar, rice wine; stewed chicken with ginger and wine in casserole","['Chicken, Three Cups Sauce']; []",0
尖椒干豆腐,fried dry beancurd with chilli peppers; dry bean curd with chilli pepper,[],0
鸡蓉生菜饱,fried minced chicken and nuts with lettuce wrap,[],0
干锅茶树菇,griddled tea plant mushrooms ; dry fried chinese mushroom and chinese sausage,[],0
越南春卷,vietnamese spring rolls with minced pork meat; vietnamese spring rolls,[],0
酸菜鱼,fish with pickle cabbage; sliced fish pickled cabbage; fish with pickled cabbage; boiled fish with pickled cabbage and chili ,[],0
香煎素菜饱,pan fried lo han vegetable bun,[],0
干蒸烧卖皇,sui mai prawn and pork meat dumplings pieces; sui mai prawn and meat dumplings,[],0
糟溜三白,"sauteed three white slices chicken, fish and bamboo shoots ; with rice wine sauce",[],0
鱼香茄子,yu xian style braised aubergine with pork mince; spicy aubergine in hot and garlic sauce; aubergines yuxiang style; sauteed egglant with spicy garlic sauce; Yu-Shiang Eggplant; braised aubergine,[],0
麻婆豆腐,mapo tofu sauteed tofu in hot and spicy sauce; szechuan style po tofu with pork mince; legendary ma po tofu; Mapo Tofu; Traditional mapo tofu in spicy sauce; the legendary pock mark minced pork mapo beancurd; Mapo tofu; ma po tofu; mapo tofu chilli sauce,[]; ['A much loved Sichuan dish dating back to the Qing Dynasty named after the pock marked old Mrs Chen Minced pork in a spicy chilli bean paste with ginger garlic and braised silken tofu']; ['Tofu with minced pork Sichuan preserved mustard greens chilli Sichuan peppercorns'],0
各色饭面粉,rice noodles and pho noodles,[],0
丝苗白饭,boiled rice; steamed jasmine rice; jasmine rice,[]; ['(v)'],0
白切鸡饭,fragrant poached chicken with rice,[],0
鸡丁炒河,dry fried hor fun with chicken,[],0
酱芦笋炒鸡片,chicken with asparagus in xo sauce,[],0
酱牛肉,beef in brown sauce; seasoned beef,[],0
白饭,boiled rice; steamed rice,[],0
椒盐豆腐,fried beancurd with chilli and salt; salt and pepper tofu bean curd; fried tofu with spiced salt ; salt and pepper tofu,[]; ['Fried tofu in spicy salt chilli garlic'],0
珍菌玉子豆腐煲,claypot silken egg tofu with wild mushroom and vegetable,['(v)'],0
酱羊肉,sliced lamb in ok sauce,[],0
咕噜鸡,sweet and sour chicken,[],0
蟹柳粟米羹,crab meat and sweet corn soup; crab meat and sweetcorn soup,[],0
星洲炒米粉,singapore vermicelli; singapore style vermicelli with or without ham & shrimps; stir fried singapore vermicelli,"['Vermicelli, Vegetables, Sesame, with or without Ham & Shrimps']; []",0
香港古老肉,sweet and sour pork hong kong style; sweet and sour pork,[],0
牛腩饭,beef brisket with rice,"['BEEF LAMB BRISKET', 'NOODLE SOUP', 'Beef Brisket Noodle Soup']; []",0
蚝油郊外时蔬,chinese vegetables in oyster sauce,[],0
蒜蓉西兰花,stir fried broccoli in garlic sauce; broccoli in garlic sauce,[],0
葡汁海中宝,sea treasures in coconut milk curry sauce,[],0
新疆大盘鸡,xinjiang chicken stew; spicy chicken with potatoes and noodles,[],0
黑椒羊肉,sliced lamb in black pepper sauce,[],0
纸包虾,paper wrapped prawns,[],0
煎蛋,omelet; crispy fried egg,[],0
干炒牛河,stir fried ho fun with beef; dry fried hor fun with beef; stir-fried rice noodles with beef; beef chow fun; fried ho fun with beef and beansprouts; stir friend ho fun with beef; Beef chow fun,"['Rice Noodles, Spring Onion, Beansprout, Beef']; []; ['']",0
老干妈煸炒牛柳,ma la beef tenderloin,"['peppers chilli and black bean sauce supplement of', 'Bell', 'with']; ['Bell peppers chilli and black bean sauce']",0
香菇粟米饺,chinese mushroom and corn dumplings v vg,[],0
干炒牛肉河粉,Wok fried rice noodles with beef and soya sauce; dry fried ho fun with sliced beef,Hủ tiếu xào thịt bò; [],0
冰镇拍黄瓜,chilled cucumber with trout roe chilli garlic vinegar,[],0
白切鸡,"ginger and scallion sauce; cantonese poached chicken; boiled chicken slices served with soy sauce, ginger sauce or ; White cut chicken; fragrant poached chicken",[],0
绿耳仙霞,"stir fried cloud fungus, lily bulb, gai lan, shiitake and macadamia; stir fried cloud fungus lily bulb gai lan shiitake and macadamia nut; stir fried cloud fungus lily bulb gai lan shiitake and macadamia",['(v)'],0
粟米羹,sweet corn soup,[],0
椒盐毛菇,fried mushroom with chilli and salt; salt and pepper mushroom,[],0
毛氏红烧肉,braised pork belly in soy; braised side of pork with soy sauce,[],0
罗汉上素炒面,supreme vegetarian fried noodle v; singapore style fried rice noodles,"[]; ['Please inform your host if you have any allergies food intolerances and or dietary requirements', 'V Vegetarian', 'S Spicy Chef Recommendation']",0
干烧伊面,chinese mushroom and yee mein,[],0
豉汁青葱鸭片,sliced roasted duck with spring onion in black bean sauce,[],0
鲜虾白菜饺,pak choy and prawn dumplings pieces; pak choy and prawn dumplings,[],0
北京鸭,memories of peking duck; of peking with seared foie gras and plum; of peking foie gras and smoked duck,[],0
芋泥小笼包,sweet taro xiao long bao,"[]; ['4pcs 179kcal', 'Vegan']",0
腰果虾仁,king prawn with cashewnuts; sauteed shelled shrimp with cashew nuts,[],0
迷你珍珠鸡,chicken glutinous rice in lotus leaf,[],0
素香酥鸭,vegetarian aromatic duck,[],0
野山椒凤爪,house pickled chilli with chicken feet,[],0
红烧排骨,Braised Spareribs; barbecued spare ribs; barbecued pork spare ribs pieces,[],0
豉椒什菜,mixed vegetables in black bean sauce; v stir fried mixed vegetables with black bean sauce,[],0
干蒸鱼蓉烧卖,fish sui mai fish meat dumplings pieces; fish sui mai fish meat dumplings,[],0
鲜虾云吞汤,won ton soup,[],0
鸡肉粟米羹,chicken and sweetcorn soup; chicken sweet corn soup; chicken and sweet corn sou,[],0
鸡蓉粟米羹,minced chicken & sweet corn soup; chicken and sweet corn soup,"['Minced Chicken, Sweet Corn & Potato Starch']; []",0
椒盐大虾碌,salt and pepper tiger prawns in shell pieces; salt and pepper king prawns in shell,[],0
腰果鸡,chicken with cashewnuts n; chicken with cashew nuts,[],0
姜葱蒸带子,steamed scallop in shell with ginger and spring onions,[],0
西湖牛肉羹,west lake beef soup; west lake mince meat soup,[],0
水煮鱼,sliced fish with chilli oil; sliced fish in hot chilli oil; spicy hot poached fish fillet; poached fish in chili oil ,[],0
安虾咸水饺,savory meat croquette,[],0
宫保大虾,king prawns kung po style; beef satay,[],0
椒盐鲜鱿,salt and pepper squid; fried squids with chilli and salt; salt & pepper calamari,"['Salt, Pepper, Calamari, Onion, Potato Starch']; []; ['Fried Squid served with pepper garlic and chilli']",0
素鸡猪拼,vegetable chicken pork mixed,[]; ['AVAILABLE'],0
糖醋排骨,sweet and sour spare ribs; sweet and sour rib with toasted sesame grape and pork floss; Sweet and Sour Spareribs,[],0
时令蔬菜,stir fried market green vegetables spring onion oil and truffle; seasonal vegetable,[]; ['(v)'],0
孜然羊肉,stir-fried lamb with cumin; aromatic lamb with cumin; fried lamb with cumin; fried lamb with onions cumin seeds,['Stir fried sliced lamb with mixed peppers and coriander infused in a spicy cumin flavour']; [],0
油辔带子拌荷豆,quick fried scallops with mange tout,[],0
红油抄手,sichuanese chao shou duplings; pork wonton in spicy red chilli oil soup; pork and prawn dumpling in chilli oil; won ton with garlic chilli oil and soy poached yolk; meat dumplings in spicy sauce,"['Meat Dumplings, Chilli']; []; ['Chicken dumplings in hot chilli oil']",0
干锅鸡,dry pot chicken; sauteed chicken with pepper in iron wok,[],0
鸡丝炒面,shredded chicken chow mein; stir-fried noodles with shredded chicken ; chicken chow mein; stir fried egg noodle with shredded chicken,[],0
潮州蒸粉果,chei chow fun kor spicy pork meat and nut dumplings pieces; stuffed mixed meat dumplings; chei chow fun kor spicy meat and nut dumplings; chui chow dumpling,[],0
招牌炒面,special chow mein,[],0
叉烧餐饱仔,suitable for vegetarian denotes option; baked mini roast pork buns,[],0
干炒辣鸡丝,crispy chilli shredded chicken,[],0
榨菜肉丝汤,shredded pork with preserved vegetable soup; pickle and shredded pork soup large,[],0
馄饨汤面,wonton noodles soup; noodle soup with wonton ,"[]; ['Wonton, Noodles, Vegetables']",0
豆沙锅饼,red bean paste pancake; pan fried red bean pancake; Red bean mash puff,[],0
京都排骨,Stir fried pork ribs with 'Kinh Do' sauce; capital spare ribs; peking style spare ribs; peking style pork spare ribs pieces; barbecued pork spare ribs,[]; Sườn heo non sốt Kinh Đô,0
上海辣鸡翼,shanghai hot chilli chicken wings,[],0
鱼香茄子煲,braised aubergine with sweet & spicy sauce in casserole; braised yu xiang aubergine in claypot; essence of fish with aubergine and pork; Stewed eggplant with salted fish and minced pork in clay pot; yuxiang eggplant in casserole sauteed with spicy garlic sauce,['( v )']; ['Aubergine']; []; ['(v)'],0
沙爹鸡串,satay chicken vegetarian chicken; chicken skewer with peanut satay sauce; satay chicken on skewers,"['Chicken, Peanut Satay Sauce']; []",0
油辔海中宝,quick fried sea treasures monk fish scallops king prawns; quick fried sea treasures,[],0
黑松露水晶虾饺,black truffle har gau,[],0
扬州炒饭,"yeung chow fried rice; special fried rice; young chow fried rice; Yeung Chow fried rice; yangzhou fried rice with diced ham & shrimps, sweetcorn, pea, carrot","[]; ['Ham, Shrimps, Sweetcorn, Pea, Carrot, Egg, Rice, Spring Onion']",0
泰式炸鱼饼,thai fish cakes,[],0
宫保带子,kung pao scallops; scallop kunpo style with cashewnuts,"[]; ['spicy dishes', 'nut dishes', 'ingredient', 'special dietary needs please notify the staff who will be happy to help', 'LYS textindd']",0
杨枝甘露冷,mango pomelo sago chilled,"['78kcal']; ['78kcal', 'Vegan']",0
蒜泥白肉,thin sliced pork rolls in spicy garlicky sauce; thin sliced pork rolls in SPICY GARLICKY SAUCE; sliced pork with garlic sauce; Shredded Pork with Garlic Sauce; sliced pork belly in garlic and chilli sauce,[]; [''],0
蒜炒四季豆,string beans with garlic,"['Original 180kcal', 'Vegan']; ['180kcal', 'Vegan']",0
吉鱼鳟鱼,steamed fish sea bass / mandarin/flatfish / perch / sea bream / ; sea bream or bull trout,[],0
豉椒蒸带子,steamed scallop in shell in black bean sauce,[],0
葱油烧素烩,"stir-fried tofu, straw mushroom, red pepper, baby corn & black fungus","[' Tofu, Straw Mushroom, Red Pepper, Baby Corn & Black Fungus']",0
老醋木耳,black fungus in chinese sour sauce v s; black fungus with vinegar sauce,[]; ['A2'],0
白汁大虾鸡蛋炒饭,king prawn in creamy white sauce on egg fried rice,[],0
宫保虾球,kung po prawns; kung pao prawn ; Stir-fried Shrimp Balls with Chili and Peanuts,[],0
脆皮炸春卷,spring rolls; Deep-fried Pork and Prawn Spring Roll,[],0
海南辣虾角,spicy hoi lam prawn parcels,[],0
海鲜豆腐,braised tofu with seafood; assorted seafood with beancurd soup,"[]; ['spicy dishes', 'nut dishes', 'ingredient', 'special dietary needs please notify the staff who will be happy to help', 'LYS textindd']",0
糖醋鸡,sweet sour chicken; sweet and sour chicken,[]; ['A variation on a popular Hunan dish Chicken chunks and pineapples coated in a treacly sweet and tangy sauce'],0
冰糖葫芦,"crispy sugar-coated fruit haws, yam, etc. on a ; stick",[],0
酸辣汤,hot and sour soup ; sichuanese sour and hot soup; hot and sour; traditional hot and sour soup; hot and sour soup,[]; ['A Sichuan classic broth with finely sliced chicken slivers cloud ears diced vegetables and tofu in a warming peppery hot broth with the contrasting taste of sour sweet vinegar (contains egg)'],0
鸡肉炒饭,chicken fried rice,[]; ['Fried rice with chicken eggs sweetcorn carrots and spring onion'],0
铁板豉椒牛柳,sizzling fillet steak with green pepper in black bean sauce; sizzling beef tenderloin with pepper in black bean sauce,[],0
酒酿圆子,glutinous rice balls in fermented rice wine; shanghai rice wine soup w rice bites; chilled taro and coconut sago,[]; ['Shanghai Rice Wine Soup w Rice Bites'],0
皮蛋豆腐,tofu with preserved eggs; century egg with tofu,[],0
花生皇沙爹汁,peanut satay sauce,[],0
干炒辣牛柳丝,crispy chilli shredded fillet steak,[],0
京都汁鸡翼,peking style chicken wings,[],0
香煎和牛,pan grilled a wagyu; grilled a wagyu eef fillet in,"['A5 150g']; ['Teriyaki Sauce with Black Garlic 150g', 'A5 150g']",0
豉汁煎酿三宝,three treasures pieces in Black Bean Sauce; three treasures,[]; ['Green Pepper Tofu Aubergine with Pak Far Prawn Meat Stuffing in Black Bean Sauce'],0
九层塔三杯鸡煲,taiwanese three cup chicken pot with sweet basil,[],0
黑椒金钱肚,black peppered tripe,[],0
四川鲜芦笋,asparagus in szechuan sauce; asparagus in szechwan sauce,[],0
脆皮咸水角,crispy pastry savoury meat croquette; thai style squid cakes contain pork,[]; ['contains shrimp'],0
鲍汁扣鹅掌,goose web in abalone sauce; braised goose webs in abalone sauce,[],0
明炉烧鸭,cantonese roasted duck; chinese style roast duck; roast duck,[],0
酥炸芝麻鸡饼,deep fried chicken and sesame cakes,[],0
豉椒斋鸡,soya chunks with green pepper and black bean sauce; vegetarian chicken with green pepper; mock chicken with pepper in chilli black bean sauce,"['in Black Bean Sauce G', 'Stir Fried Mixed Vegetables with Ginger']; []",0
芥末虾球,sauteed prawn topped with wasabi; mini sesame prawn toast,[],0
上海辣牛柳粒,shanghai hot chilli diced fillet steak,[],0
鸡面汤,chicken noodle soup,[],0
上汤海皇饺,seafood dumpling in supreme stock,"['pork soup based']; ['pork soup based', 'Suitable for vegetarian', 'Denotes option']",0
红油百叶,beef tripe with chilli oil sauce; beef tripe in chili oil,[],0
蜜汁叉烧饭,honey char siu with rice; char siu with rice roast duck hong kong,[],0
皇豉汁扒津菜芦笋,asparagus chinese lettuce in yellow bean sauce; asparagus chinese leaves in yellow bean sauce,[],0
黑椒牛肉,beef in black pepper sauce; beef with black pepper sauce,[],0
蛋炒饭,egg fried rice,[]; ['With spring onion'],0
上素豆腐,stir fried tofu and seasonal green,[],0
地三鲜,"Fried Potato, Green Pepper & Eggplant; stir-fried potatoes, aubergine, green pepper & red pepper; sauteed potato, green pepper and eggplant ; sauteed potato aubergine with chilli peppers; potato aubergine and green pepper; aubergine with potato and sauteed; stir fried potato aubergine and pepper","['Potatoes, Aubergine, Green Pepper & Red Pepper']; []",0
蒸罗汉素菜饺,steamed lo han dumplings,[],0
椒盐鸡翅,salt and pepper chicken wings; salt & pepper chicken wings; salt and chilli chicken wing,"[]; ['Fried chicken wings served with pepper garlic and chilli']; ['Salt, Pepper, Chicken Wings, Onion']",0
番茄焖牛腩,slow cook beef brisket with tomato; stewed beef brisket and tomato,[],0
鱼香肉丝,yuxiang shredded pork sauteed in spicy garlic sauce; shredded pork in hot and spicy sauce; shredded pork in spicy sauce; sauteed shredded pork with black fungus in sweet & spicy garlic sauce; Shredded Pork with Garlic Sauce; yu xiang style shredded pork; shredded pork yuxiang style; sea spiced shredded pork; Fish-Flavored Shredded Pork,"[]; ['Pork, Carrot, Bamboo Shoot, Black Fungus, Sugar, Chilli Oil, Spring Onion']",0
流沙包,steamed duck yolk custard bun; salted egg yolk custard bun,[],0
重庆辣子鸡,Chongqing spicy deep-fried chicken; chongqing style chicken with chilli; deep fried chicken with dried chilli,[],0
蟹肉粟米羹,crab meat and sweet corn soup; crab meat thick soup with sweet corn; crabmeat and sweet corn soup,[],0
铁板中式牛柳,sizzling fillet steak in cantonese style; sizzling fillet steak cantonese style; sizzling beef tenderloin cantonese style,[],0
辣味日本芥辣虾,spicy wasabi tiger prawns pieces; spicy wasabi king prawns,"['MAIN COURSES', 'KING PRAWNS']; []",0
果汁辣味猪柳,pork fillet in spicy sweet fruit sauce,[],0
豉椒鸡,spicy chicken in chilli and black bean sauce; chicken with green pepper and black bean sauce,[],0
左口鱼豉汁蒸清蒸红烧,"brown sauce; halibut steamed with black bean sauce, steamed/braised in ",[],0
银芽豉油皇炒面,soft noodles with silver sprouts,[],0
杏仁鸡,crispy almond chicken n,[],0
豉汁蒸排骨,steamed spare ribs in black bean sauce; mini spare ribs in garlic and black bean sauce; spare ribs in black bean sauce,[],0
笋尖虾饺皇,har kau prawn dumplings pieces; har kau prawn dumplings,[],0
云吞汤面,won ton noodle soup,[],0
干锅仔鸡,griddle cooked chicken with chilli; dry wok chicken,[]; ['Stir fried tender pieces of soft marinated chicken with fresh garlic mixed peppers chilli and celery in spicy Sichuan sauce'],0
四川樟茶鸭配荷叶饼,"pancake; smoked duck, sichuan style served with lotus-leaf-shaped ",[],0
叉烧炒饭,char siu fried rice; beef cubes with pickled chilli and fresh chopped red chilli; roast pork fried rice,[],0
鸡丝炒饭,shredded chicken fried rice; shredded chicken egg fried rice,[],0
姜葱牛肉饺,beef dumplings with ginger and spring onion; beef dumplings with ginger and spring onion pieces,[],0
蜜汁叉烧酥,barbecued roast pork puffs; deep fried beancurd skin with prawn roll contain pork,[]; ['ORIENT'],0
烧鸭饭,duck and rice; roast duck with rice,[]; ['Cantonese roast duck rice and cucumber'],0
豆沙小笼包,red bean xiao long bao,"['8pcs 358kcal', '8pcs 480kcal', '4pcs 240kcal']; []",0
姜葱羊肉煲,sliced lamb with ginger and spring onions in clay pot,[],0
素酿豆腐七彩斋料,stuffed bean curd with rainbow vegetables,[],0
宫保猪肉,sliced pork kung po style,[],0
橙汁鸭片,roasted duck in orange sauce; lightly battered roasted duck in orange sauce,[],0
大妈茄子,braised aubergine in yellow bean sauce,[],0
芋头西米露,chilled taro and coconut sago,[],0
炸蝴蝶虾球,butterfly king prawns; butterfly tiger prawns pieces,[],0
椒盐鸡,salt and pepper chicken; chicken with spiced salt,[],0
蒜茸蒸虾,garlic steamed wild tiger prawn mung bean noodles superior soy,[],0
香酥鸭,"crispy aromatic duck; crispy aromatic london sticky rice cherry smoked duck and oscietra caviar accompaniment; aromatic crispy duck; aromatic crispy duck served with pancakes, shredded cucumber, spring onion and hoi-sin sauce","[]; ['with pancakes spring onions and cucumber']; ['Duck, Pancakes, Shredded Cucumber, Spring Onion and Hoi-sin Sauce']",0
腰果鸡片,chicken with cashewnuts; chicken with cashew nuts,[],0
中式牛柳,sliced fillet steak in chinese style; beef fillet cantonese style,[],0
天外天百子鸭,sweet and spicy duck dome,[],0
黑椒牛柳卷,fillet steak rolls in black pepper sauce,[],0
梅菜扣肉煲,hot and spicy fish fillet with; steamed pork with preserved vegetable in casserole; Braised pork with dried vegetables,['Beef Brisket with Mooli Hot Pot']; []; Thịt heo hầm với cải mặn,0
京式酸辣羹,peking hot and sour soup,[],0
黑椒牛柳,sliced fillet steak in black pepper sauce; beef fillet in black pepper sauce; sauteed beef tenderloin with black pepper  ; fillet steak with black pepper sauce,[],0
秘汁羊肉,sliced lamb with wing's special sauce,[],0
酱海鲜炒乌冬,xo dry fried seafood udon; xo sauce seafood udon,[],0
