chinese_name,english_name,chinese_description,english_description,quality
川椒肉片,stir fried pork with dried chilli and onion,[],[],high
经典拼盘春卷多士椒盐鸡,home mixed appetizer spare ribs in ok sauce crispy spring rolls sesame prawn toast,[],['Crispy Seaweed Salt and Pepper Chicken'],high
黑椒鸡卷,steamed chicken roll in oyster sauce,[],[],high
姜葱羊肉,lamb with ginger and spring onion,[],['Stir fried sliced lamb with ginger and spring onion'],high
姜葱生蚝,fried oyster with ginger and spring onion,[],[],medium
中古,sweet and sour fish fillet,[],[],medium
黑松露野菌炒和尚鱼,sliced lamb with cordyceps,[],[],high
干锅肥肠,dry pot pork intestines,[],[],medium
云耳炸春卷,fried vegetable spring rolls,[],[],medium
酥炸云吞,deep fried wun tun,[],[],medium
双耳炒四季,stir-fry fungus and assorted vegetables,[],[],high
台湾卤肉饭,taiwanese style marinated pork,[],[],medium
串烧冬荫鸡饼,chicken cakes on skewers in tom yum sauce,[],[],medium
蚝皇南非溏心鲍鱼扣花胶,braised whole south african abalone and fish maw with supreme oyster sauce,[],[],high
辣味虾烧麦,spicy prawn shaomai,[],[],medium
清蒸智利海鲈鱼,steamed chilean wild sea bass fillet with ginger and scallion,[],[],high
孜然牛肉饭,stir fried beef with cumin,[],[],medium
麻辣牛肚,spicy beef tripe,[],[],high
腊味炒饭,chinese cured pork and sausage fried rice,[],[],medium
香辣芙蓉鱼,spicy sliced fish with egg white ,[],[],high
重庆小面,chongqing noodles with minced pork,[],[],high
干贝扒芦笋,braised asparagus with scallops  ,[],[],high
冬笋炒肉丝,sauteed shredded pork with bamboo shoots,[],[],high
斑腩豆腐煲,monk fish fried bean curd and vegetables in clay pot,[],[],medium
苏麻婆豆腐,vegetarian mapo tofu in sichuan sauce,[],[],high
清蒸多佛龙利鱼,steamed dover sole,[],[],high
凉拌香酥鸭沙律,crispy aromatic duck salad,[],[],high
椒盐软壳蟹,deep fried soft shell crab with garlic in spicy salt and pepper,[],[],medium
陈皮红豆沙,tangerine-flavored red bean paste,[],[],high
葱煸羊腩,sauteed diced lamb with scallion,[],[],high
九重茄子,sauteed eggplant with basil,[],[],high
荷兰豆西芹四季豆,lettuce stir fried ginger sauce garlic oyster sauce,[],[],high
韭菜饺,shrimp and leek dumpling,[],[],medium
沙墨鱼仔,satay baby squid,[],[],medium
鲜虾腐皮肠粉,king prawn with bean curd,[],[],high
杨州炒饭,yang chow fried rice,[],[],medium
云吞汤,wonton soup,[],"['Pork Dumpling, Chinese Cabbage, Corianda']",high
油炸花生米,fried fresh peanuts n,[],[],high
鸡球炒面,sliced chicken chow mein,[],[],medium
时蔬炒饭,mixed vegetable fried rice,[],[],high
汤生面,egg noodle soup,[],[],high
松花皮蛋,preserved egg with pickle chilli and soya,[],[],high
蒙古手抓肉,"boiled lamb, mongolian style",[],[],high
黑米馒头,mantou with black rice,[],[],high
雪菜肉松拉面,vegetable ,[],[],high
亚式浓香鸡汤,and chinese wolfberry,[],[],high
家乡鳝鱼,home-style eel,[],[],high
甜酸鸡球,chicken balls with sweet and sour sauce,[],[],medium
香煎牛肉包,pan fried beef buns,[],[],high
雪菜火鸭丝煎面,fried noodle with shredded duck and pickle cabbage,[],[],high
冰糖银耳燕窝,braised bird’s nest with white fungus and rock sugar,[],[],high
菠菜虾饺带子饺,spinach and prawn dumpling,[],['Scallop and Prawn Dumpling'],high
铁板姜葱牛柳,sizzling beef tenderloin with ginger and spring onions,[],[],medium
殷豉炒珍宝蟹,sauteed jumbo crab in taiwan black bean sauce,[],[],high
干牛丝,crispy shredded beef,[],[],medium
鲜虾生肉包,baozi stuffed with shrimp ,[],[],high
小棠菜蒜蓉清炒,stir fried pak choi,[],['VG Garli Plain Fried'],high
鱼香鸡,sliced chicken in hot and spicy sauce,[],[],medium
酥炸软壳蟹,deep fried softshell crab with curry leaf dressing,[],[],high
蚝油白菜,pak choi with oyster sauce,[],[],high
香煎萝卜糕,turnip paste,[],[],medium
鲍鱼清蒸椒盐香辣麻辣,abalone steamed deep fried with dried shallots,[],"['in salt and pepper with dried spicy chilli', 'in spicy sauce with sichuan peppercorns']",high
腊八豆炒腊肉,sauteed preserved pork with fermented soy beans,[],[],high
宫保什菜,kung po mixed vegetable,[],[],high
炭烧素叉烧,charcoal grilled vegetarian mock barbecued pork v,[],"['Please inform your host if you have any allergies food intolerances and or dietary requirements', 'V Vegetarian', 'S Spicy Chef Recommendation']",high
美味牛筋,flavored beef tendon,[],[],high
宫保大虾肉,kung pao supreme shrimp,[],[],high
糟蛋,egg preserved in rice wine,[],[],high
干烧鲈鱼,dry brised sea bass,[],[],medium
蒜香葱油饼,fried spring onion pancakes,[],[],medium
蒜蓉花楖菜,broccoli and cauliflower with garlic,[],['Broccoli and cauliflower with garlic'],medium
奶黄糯米糍,glutinous rice balls stuffed with custard ,[],[],high
爽口西芹,celery with sauce,[],[],high
木瓜腰豆煮海参,stewed sea cucumber with kidney beans and papaya,[],[],high
千层耳丝,shredded pig ear,[],[],high
鸳鸯炒饭,yin yan fried rice,[],[],medium
黑椒粒粒香,fragrant black pepper sirloin beef,[],[],high
金银贝大富豪炒饭,dried and fresh scallop fried rice with xo sauce,[],[],high
陈皮鸡,tangerine-flavored chicken,[],[],high
现炸酥肉,deep fried pork with szechuan pepper corn,[],[],medium
蜜汁叉烧配鹅干,cantonese honey roasted pork and grated foie gras,[],[],high
凉拌清爽菜,cold staters and appetizers,[],[],high
水晶虾仁,sauteed shrimp,[],[],high
麻辣鸭舌,marinated spicy duck tongues,[],[],high
酸辣瓜条,spicy cucumber in vinegar,[],[],high
一碗香,special cooked braised pork belly,[],[],medium
酸辣小海蟹,velvet crab with preserved vegetable and chilli,[],[],high
咕噜猪肉,sweet and sour pork,[],[],medium
南乳碎炸鸡,fried chicken with fermented tofu,[],[],high
生炒牛肉饭,minced beef fried rice,[],[],medium
豉汁芥兰豆腐,kai lan and tofu in black bean sauce,[],[],high
杭椒牛柳,sauteed beef fillet with green pepper,[],[],high
四川回锅肉,intestine with dried chilli sichuan style double cooked pork belly,[],[],medium
拌香椿苗,chinese toon in sauce,[],[],high
大蒜羊仔片,sauteed lamb slices with garlic,[],[],high
雪菜大汤黄鱼,stewed yellow croaker with bamboo shoots and preserved ,[],[],high
蒜蓉蒸大虾碌,steamed king prawns in shell with garlic and soya sauce,[],[],medium
香煎土豆饼,chinese crispy hash brown,[],"['Potato, Flour']",high
红烧大鲍翅,braised shark fin with soy sauce,[],[],high
咸蛋黄焗豆腐,fried beancurd coated with salty duck egg yolk,[],[],medium
水煮明虾,poached prawns in chili oil,[],[],high
奶皇寿包,sweet almond tofu pudding with fresh fruits chilled,[],[],high
香油苦瓜,marinated bitter melon with sesame oil,[],[],high
酸菜肚丝汤,pickled cabbage and pork tripe soup,[],[],high
油酱毛蟹,braised river crab with soy bean paste,[],[],high
豉椒牛肉,beef with green pepper and black bean,[],[],medium
四川大虾球,stir fried scallops and,[],['Cuttlefish with Broccoli'],high
飘香榴莲酥,durian crisp v,[],[],medium
明炉烧鸭全去骨,roast duck whole boneless,[],[],medium
蜜汁叉烧,char siu bbq pork,[],[],high
铁板黑椒羊肉,sizzling sliced lamb in black pepper sauce,[],[],medium
斋饺,veg dumpling,[],[],high
干锅藕片,dry wok sliced lotus root,[],['Stir fried crunchy sliced lotus roots with fresh garlic mixed peppers chilli and celery in spicy Sichuan sauce'],high
炸烹虾球,fried prawn,[],[],high
上海小笼包,shanghai steamed dumpling ginger infused vinegar,[],[],high
海皇蛋白菜粒炒饭,fried rice with egg white and diced vegetables,[],[],high
白辣椒蒸排骨,spare ribs with white chilli,[],[],high
宫保肉丁,kung po pork,[],[],medium
叉烧炒面,char siu chow mein,[],[],medium
香煎鹅肝,pan-fried goose liver,[],[],high
鼓汁蒸带子,steamed scallops with black bean sauce,[],[],high
麻辣土豆丝,sliced spicy potato,[],[],medium
三虾炒冬粉,stir fried vermicelli noodle with spanish red shrimp,[],[],high
港式烧鸭饭,roast duck hong kong style with rice,[],[],medium
豉椒蒸凤爪,chicken claws in black bean sauce,[],"['Contain Nuts Suitable for vegetarian Denotes option', 'mages are for reference only Hot and Spicy']",high
酱辔鸡,chicken with cashewnuts in yellow bean sauce,[],[],medium
宫保豆腐,chilli beancurd kunpo style with cashewnuts,[],[],high
黑毛猪叉烧拼脆皮烧腩仔,honey glazed iberico char siu and crispy pork belly,[],[],high
牛肉炒饭,mince beef fried rice,[],[],medium
清炒荷兰豆,stir-fry snow peas,[],[],high
干烧四鲜,braised duck webs and duck meat with bamboo shoots and green ,[],[],high
温泉蛋麻婆豆腐,mapo tofu with minced beef and poached egg,[],[],high
琵琶豆腐,pei pa beancurd,[],[],medium
带子饺,scallop and prawn dumpling,[],[],high
香辣油泼面,aromatic chili oil noodles in,[],[],medium
福州炒饭,fried rice with mixed meat and prawn steamed and wrapped in lotus leaf,[],[],high
东坡银鳕鱼,dongpo steamed codish with preserved vegetables,[],[],high
羊排萝卜汤,lamb belly and molly,[],[],high
香芋烩牛肉,braised beef with taro,[],[],high
葱油拌面,scallion oil noodles with soysauce,[],[],medium
木瓜炖翅,shark fin soup with papaya,[],[],high
烧卖拼盘,siu mai platter pcs,[],[],medium
春卷肉,crispy spring rolls,[],[],medium
鸡丝星米,singapore rice noodle with chicken,[],[],high
菜肉馄饨面,noodles soup with pork and vegetable wonton ,[],[],high
腊味合蒸,steamed house special assorted preserved meats,[],[],high
椒盐大虾球,prawn with spiced salt,[],[],high
四川辣子鸡,"spicy chicken, sichuan style",[],[],high
鲜虾小馄饨虾肉云吞汤,shrimp wonton soup,[],[],high
东来顺特制羊上脑,donglaishun special lamb brain,[],[],high
蜜汁鸡翅,honey chicken wings,[],[],medium
春卷,spring rolls,[],"['Pancake, Stuffing of Pork & Shrimps or Vegetables']",high
酱虾子肉松茄子煲,casserole,[],[],high
鸡片蘑菇汤,sliced chicken & mushroom light soup,[],['Chicken & Mushroom'],high
三杯鸡,stewed chicken with ginger and wine in casserole,[],[],high
尖椒干豆腐,fried dry beancurd with chilli peppers,[],[],medium
海参锅巴,stir-fry sea cucumber with crispy rice,[],[],high
西柠芝麻虾球,sesame king prawn in lemon and honey sauce,[],[],high
鸡蓉生菜饱,fried minced chicken and nuts with lettuce wrap,[],[],medium
芒果黑芝麻与百香果,mango black sesame and passion fruit,[],[],high
椒盐大虾球,salt and pepper king prawns,[],[],medium
鲜菠萝海皇炒饭,fried seafoods and pineapple rice,[],[],high
豉油乳鸽皇,braised pigeon in black bean sauce,[],[],high
串烧沙嗲鸡牛,satay chicken or beef,[],['skewers'],high
干锅茶树菇,griddled tea plant mushrooms ,[],[],high
酸菜土豆炒饭,egg fried rice with pickled vegetable and potato,[],[],medium
椒盐露笋,fried asparagus with chilli and salt,[],[],medium
海蜇手丝鸡,shredded chicken with jellyfish and cucumber,[],"['Suitable for vegetarian Denotes option', 'Contain Nuts']",high
香滑鲈鱼球,sauteed perch balls,[],[],high
带子凤眼饺,spicy prawn and pea shoot dumplings s,[],[],high
浏阳豆豉鸡鷄肉黑豆仁仁炒,gong bao chicken with peanuts,[],"['STIR FRIED CHICKEN WITH', 'BLACK BEAN AND GARLIC']",high
带子鲜露笋,sautéed scallops with fried asparagu,[],"['Deep Fried Squids served with sweet and sour sauce', 'Deep Fried Squids with Garlic in Spicy Salt and Pepper', 'Squids in Black Bean and Chilli Sauce']",high
炸大肠,deep fried pig intestines,[],['An offal dish Deep fried pig intestines served with hoi sin sauce'],high
星州炒米粉,"stir-fried rice noodles, singapore style",[],[],high
四川凉粉,szechuan cold chilli noodle,[],[],medium
蚝油杏包菇,sauteed mushrooms with oyster sauce,[],[],high
四川香辣手撕茄子,sichuanese aubergines,[],[],high
蒜炒虾仁豆苗,prawn dou miao with garlic,[],"['Original 293kcal', 'With Prawns 409kcal', 'All of our Dou Miao is specially', 'grown in the UK for Din Tai Fung', 'Every batch is selected with only', 'young and tender shoots of almost', 'identical length']",high
四川豆腐,spicy beancurd szechuan style,[],[],medium
老式锅包肉,traditional wo fried pork with sweet and sour sauce,[],"['TASTING VERY', 'DELICIOUS']",high
脆皮鸡,crispy chicken,[],[],high
烧味类每日限量,roast meat dishes limited availabitily,[],[],high
越南春卷,vietnamese spring rolls,[],[],medium
雷沙芝麻圆,sesame peanut glutinous rice ball,[],[],high
酸菜鱼,boiled fish with pickled cabbage and chili ,[],[],high
北菇扒菜心,braised vegetable heart and mushrooms ,[],[],high
香煎素菜饱,pan fried lo han vegetable bun,[],[],medium
干拌排骨面,pork chop and dry noodles,[],"['in House Sauce', '602kcal', 'Premium pork chop marinated', 'for tenderness then deep fried to', 'perfection Served with homemade', 'egg noodles in house sauce and', 'finished with fresh spring onions and', 'black pepper']",high
西特拉鱼子酱,oscietra caviar,[],[],high
干蒸烧卖皇,sui mai prawn and meat dumplings,[],[],medium
素叉烧包,laughing buddha bun,[],[],high
黑椒羊大虾三鲜,lamb king prawn mixed seafood,[],['Sauce'],high
糟溜三白,with rice wine sauce,[],[],high
银芽干炒牛河,stir-fried rice noodles with beef and bean sprouts,[],[],high
竹笋牛肉面米线户,spicy stewed beef brisket with bamboo,[],['Shoots'],high
蒜香葱油饼,spring onion pancakes,[],[],medium
砂锅玉米炖排骨,stewed spare ribs & sweet corn on the cob soup in casserole,[],['Spare Ribs & Sweet Corn (on the Cob)'],high
上等铁观音,fine goddess of mercy,[],[],high
